tablet_num	subject	relation_type	object	subject_tag	object_tag
P137289	dub-sar	dumu	nig2-u2-rum	N	PN
P137291	dub-sar	dumu	nig2-u2-rum	N	PN
P137292	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137293	sze-ba	dumu	ba-usz2	N	V
P137293	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137294	dub-sar	dumu	la-gi4-ip	N	PN
P137295	dub-sar	dumu	ur-{d}sza-u18-sza	N	PN
P137296	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137298	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137299	dub-sar	dumu	nig2-u2-rum	N	PN
P137300	dub-sar	dumu	nig2-u2-rum	N	PN
P137301	dub-sar	dumu	na-sa6	N	PN
P137302	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137305	dub-sar	dumu	ka5-a-mu	N	PN
P137307	ku3-{d}nanna	dumu	ur-{d}ba-ba6	PN	PN
P137307	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137308	sukkal	dumu	ARAD2-da-ni	N	PN
P137309	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137310	dub-sar	dumu	ur-{d}nin-gesz-zi-da	N	PN
P137311	ku3-{d}nanna	dumu	sa6-ga-x	PN	PN
P137311	ku3-{d}nanna	dumu	szu-sal	PN	PN
P137311	...	dumu	ba-usz2	PN	V
P137311	1(ban2)	dumu	ba-usz2	NU	V
P137311	nig2-gi-na-i3-du10	dumu	ur-x	PN	PN
P137311	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137312	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137313	dub-sar	dumu	ur-pu2-mun-na	N	PN
P137314	dub-sar	dumu	nam-zi-tar-ra	N	PN
P137315	dub-sar	dumu	nig2-u2-rum	N	PN
P137318	lugal-he2-gal2	dumu	lu2-hu-bi2-ma	PN	PN
P137319	sze-ba	dumu	ba-usz2	N	V
P137319	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137321	dub-sar	dumu	lu2-giri17-zal	N	PN
P137325	dub-sar	dumu	a-gu-a	N	PN
P137326	lunga	e2-gi4-a	sze	N	N
P137327	dub-sar	dumu	nig2-u2-rum	N	PN
P137328	lu2-{d}inanna	dumu	ga-a-mu	PN	PN
P137329	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137330	lu2-...	dumu	sza3-da-nu-szar2	PN	PN
P137331	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137332	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137333	dub-sar	dumu	{d}nanna-ku3-zu	N	PN
P137334	dub-sar	dumu	nig2-u2-rum	N	PN
P137335	dub-sar	dumu	lu2-giri17-zal	N	PN
P137336	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137339	...	dumu	ra-al-mah	PN	PN
P137344	du3-a-ku5	dumu	um-mi-a	V	N
P137350	ur-{d}li9-si4	dumu	geme2-{d}utu	PN	PN
P137350	1(disz)	dumu	1(ban2)	NU	NU
P137350	1(disz)	dumu	1(ban2)	NU	NU
P137353	2(ban2)	dumu	lugal-x-x	NU	PN
P137353	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137354	udu	dumu	ka-tar	N	PN
P137355	dub-sar	dumu	ma-asz2	N	PN
P137358	geme2-engur	dumu-munus	igi-nin-sze3	PN	PN
P137358	1(ban2)	dumu-munus	gaba	NU	N
P137361	en-um-{d}suen	dumu	ur-e2-an-na	PN	PN
P137361	ur-e2-x-e	dumu	x-{d}utu	PN	PN
P137361	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137363	dub-sar	dumu	{d}nin-mar{ki}-ka	N	PN
P137366	{d}amar-{d}suen-si2-im-ti	dumu	...	PN	PN
P137366	lu2-{d}nin-szubur	dumu	ARAD2-ni	PN	PN
P137369	dub-sar	dumu	ab-ba-ni	N	PN
P137370	dub-sar	dumu	ab-ba-ni	N	PN
P137371	dub-sar	dumu	AN-nag-du	N	PN
P137372	1(disz)	dumu	1(disz)	NU	NU
P137373	|PU3.SZA|-{d}iszkur	dumu	ku-ku-da	PN	PN
P137373	a-li2-id-{d}suen	dumu	{d}iszkur-illat	PN	PN
